"dailyTxns","dailyVolumeToken0","dailyVolumeToken1","dailyVolumeUSD","date","pairAddress","reserve0","reserve1","reserveUSD","token0.decimals","token0.id","token0.name","token0.symbol","token1.decimals","token1.id","token1.name","token1.symbol","totalSupply"
"1","1","22.61700760538432972","22.97029212501760769924955331629804",1631145600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","947.760333515909218572","21393.813170802659255195","43498.98514010160042463031891450955",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"6","121.800711916122457192","2765.541857269805954992","2732.333231303069780042228355859601",1631059200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","948.760333515909218572","21371.196163197274925475","43308.36394238281530336180249670124",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"4","73.590714484923233173","1964.977074567781241047","1905.031661332839927384136739632122",1630972800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","907.483771411951050586","22334.763229521641723287","44034.26685083853919603987221394428",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"2","18.720540254265582601","546.653162079445420773","555.4527941479677659495211567962103",1630886400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","833.893056927027817413","24299.740304089422964334","49470.58787677510495569932306913506",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"2","7.394122958754259284","213.01010548709018806","212.139668486408244509729462965715",1630713600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","841.101249702752810588","24089.876649299297630081","48058.10975313157691184419686424641",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"2","14.281516517967769287","422.295780640798324005","418.046220839855252424136062155039",1630627200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","833.707126743998551304","24302.886754786387818141","48445.32767481296568627867016919681",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"2","24.14133212986323953","709.667032961338107595","720.0953749328965529127452639416292",1630454400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","819.425610226030782017","24725.182535427186142146","49531.24083316392063461037632998431",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"4","30.791662467903117218","854.559071289359797332","854.5158317337447356599978072385272",1630368000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","843.566942355894021547","24015.515502465848034551","48099.08663093133173596916376494188",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"5","41.804811861768109685","1120.394619972550714716","1126.193439790093534668099004811478",1630281600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","851.567084921609308883","23787.338633605639963275","46967.80608924012773787877699048656",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
"2","7.412524381260507147","197.656259911142187468","196.8865663855612556237021809255906",1630195200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","873.927280210169615122","23175.397926675437481375","46373.91784622977756304201121726778",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"4044.269568626219934863"
