"dailyVolumeETH","dailyVolumeUSD","dailyVolumeUntracked","date","totalLiquidityETH","totalLiquidityUSD","totalVolumeETH","totalVolumeUSD","txCount"
"18907.99411303807220734834899221161","65790739.87955693924645126633962795","82046694.4999452168485953782120431",1631145600,"1374421.041026535061785950144576092","4774838907.537813051143667680284137","0","0","60758758"
"166180.4065272846872533976103690562","568037417.0374697581474198997400901","981613281.9992382001241929029395215",1631059200,"1371996.060729405371693293596776781","4792770018.38150478261512723061787","0","0","60751504"
"211695.6575510809836071289051886256","757507069.646677898718634945789587","926755388.9079167293381288792993067",1630972800,"1389085.147840809599630805038806542","4767355632.816804937716258598046029","0","0","60693213"
"111760.8784176236955645919276005258","439252390.8490170274370387366707095","857279341.9958385162760703975789651",1630886400,"1344715.451496766406002486392745885","5282306720.907700706510355163751083","0","0","60624313"
"90711.27254140362967112640110412362","355135094.8381680292665157709822835","542650501.2770103782563337781559373",1630800000,"1351760.788753979064499022206145984","5342333292.237148119210310485786296","0","0","60562490"
"105436.677310255694031398440898662","411583034.7778492784219371800128647","772304237.8521419345507266864875332",1630713600,"1355361.896329698623577877320414181","5267170205.849950808615279327863828","0","0","60507312"
"107416.8134982783190806670780272292","418483584.4201267697516874087802993","491821715.7034739312513368260946402",1630627200,"1350558.462617788215518158998480324","5304552078.859330483839225579409622","0","0","60452040"
"101561.6447104504405905488717121874","383268631.774832188655952874085995","429983294.6249575273512090593696597",1630540800,"1375346.923525287053703264954438824","5218702331.135877253401398625288745","0","0","60402157"
"143033.9297522547170298341655445679","512235006.2159060127920360784484105","798132249.9790985880146977602865957",1630454400,"1384412.056499308926331951676859841","5292435529.622991178551470507591341","0","0","60342805"
"144585.6068921829656698902137207403","483975796.8157335739660700275663871","1164779204.904447759562777713216044",1630368000,"1438993.099894206216581942040513666","4934704560.761632419801566027880982","0","0","60282084"
"192173.3311494265060013899324624418","615041021.1787218098358626786456186","748698377.1331690717271257200694916",1630281600,"1476261.246887601373598995338444148","4758261404.971749089306466574985177","0","0","60216507"
"117991.1955404518189017333139402118","378699579.2803461511993916294883369","601767016.7484106287501340993675731",1630195200,"1490502.61146942699557614600075093","4817505759.64000123453972902772619","0","0","60151194"
"107847.3763280720309693995098740872","349681708.0234348787997752481940789","594141893.8224217890793667634542214",1630108800,"1492032.820019003961070535099259703","4829813810.697197769035906059211336","0","0","60084449"
"126718.6097297845489489800247842446","401116920.8199997818729049296256536","983322533.5207520898132626355395544",1630022400,"1489765.838283759824398888513547786","4873665194.043466239063881804001205","0","0","60015520"
"168640.9550368037482626978332568092","527480487.4334206735733568313498385","886368674.0698856863112491962793021",1629936000,"1496753.775426880349166192120852582","4643808873.262632202069216316208184","0","0","59951177"
"149048.1950870397310791520022981305","474950594.2264820193379802332425684","39469540786.82905490570097646775079",1629849600,"1483858.689756698672628974422316714","4777649621.573888683756037571596139","0","0","59866410"
"305016.1910291852118650240223291194","1005943594.476199347274244622806177","2451035494.918999125640338609421287",1629763200,"1482528.121714026345685091685781133","4705793004.856203583420493212222297","0","0","59789412"
"155228.8254895055447218145693995733","516045739.1246222977468433879883586","1360514659.81393162241647411968794",1629676800,"1458799.897024121410726669949629591","4848492834.559615241209644987459557","0","0","59703166"
"111321.551612778555930410101253488","357524919.7972810149041575416850206","9357630547.119401318423676545424691",1629590400,"1469503.649596706913354849997226099","4765823998.73120561737215100160498","0","0","59604675"
"107159.6156686331971563733391959002","350096371.4648264202082243370198433","459562623.2461335007881784319778531",1629504000,"1470783.495986343742048418245296876","4758132459.14400963973494804475579","0","0","59511334"
"150452.928241376460931037147168062","487690024.4434905987920802535427168","721428298.372213254847433370600183",1629417600,"1472032.96002505553837819584451795","4822138344.788563020528816045057595","0","0","59419603"
"156325.6632815986134483562461148902","476133210.1974498525847486918848972","626601944.168012641187305609535302",1629331200,"1492836.526747320388965946891580425","4740800662.951614939855908837072174","0","0","59314352"
"173590.1064611672462177447386032066","528176102.9121661538287324856009149","623665009.4648187867928587996465982",1629244800,"1573305.759830806868601974092923378","4755952867.549345512221883875217119","0","0","59213630"
"179073.6734774674008416845959299283","564081247.7438323418301748583253335","831915576.675636656543337081812052",1629158400,"1565757.108144956354556514493223712","4716075972.719878683359943312232225","0","0","59118766"
