"createdAtBlockNumber","createdAtTimestamp","id","liquidityProviderCount","reserve0","reserve1","reserveETH","reserveUSD","token0.decimals","token0.id","token0.name","token0.symbol","token0Price","token1.decimals","token1.id","token1.name","token1.symbol","token1Price","totalSupply","trackedReserveETH","txCount","untrackedVolumeUSD","volumeToken0","volumeToken1","volumeUSD"
"12956859","1628055689","0x31ca22fb5ce41aae3d006d3e98d01bd4649d59ba","1","0.000000000000003388","0.000000000000000296","0.00000000000000003652620351072142278460363446552455","0.00000000000009067604098658880535751083633581149",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"11.44594594594594594594594594594595",18,0xda86006036540822e0cd2861dbd2fd7ff9caa0e8,TUBE2,TUBE2,"0.08736717827626918536009445100354191","0","0.00000000000000005774443130813468262616698412368919","2","0","0","0","0"
"12946665","1627917184","0xffe135a70c3daefdd49489172164db11e73d1737","2","20.11120470662273576","179496.7164814932","0.1812809709274313584391749344961522","497.5471935916075806103085978931313",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.0001120421871822723738221967885850025",10,0x8f55abb908245f508c5ce804182197d6e9e5cc0d,7coin,7SP,"8925.209558549413774854620403035016","0.189638013621969764","0.3625619418548627168783498689923044","8","189.0625488167377700184051766182026","16.687839006174655976","871151.7834114192","0"
"12882083","1627035573","0x89c731e98ada62dd48c99add5261827a93b9e9a9","1","0.000000000000000431","0.000000000000002322","0.000000000000000007505833005096854908538613340169127","0.0000000000000154983064312911821751118376984804",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.1856158484065460809646856158484065",18,0xee9801669c6138e84bd50deb500827b776777d28,O3 Swap Token,O3,"5.387470997679814385150812064965197","0","0.000000000000000007315375254253229073206195107461642","2","0","0","0","0"
"12799738","1625921138","0x408936593faaefbf55fd2dd210853dfb10d30ff1","1","0.000000000000000246","0.000000000000004113","0.000000000000000004231504679602259540537672020666935","0.00000000000001359240026141469976408977798763936",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.05981035740335521517140773158278629",18,0x7ff4169a6b5122b664c51c95727d87750ec07c84,10Set Token,10SET,"16.71951219512195121951219512195122","0","0.000000000000000004290328034665832736596133248757165","15","2664.383768829711792167336314793735","123.80871565186858232","1449.102671558213346811","0"
"12711449","1624734944","0x75df126d7d76386bffb7ff11ca044e93d6f4dd35","1","129.850115881683425349","43.304728952724326278","1.73379731285028622379370166932254","5996.419477051242040516183273839782",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"2.998520462359676708201006367371882",18,0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,Alchemist,⚗️,"0.3334978075197302443484377989376183","74.870987999074815292","1.729936930087894861843761487709146","19","2812.053532578034202940476040736623","125.993430133825859455","53.095992904778525847","0"
"12650513","1623913745","0xccf67cd1429bdb259182d06a65ed4a2cb78073d2","1","0.000000000000000224","0.000000000000004477","0.000000000000000003000869560392432982340973081010969","0.000000000000007348837716882608300571879908713681",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.05003350457895912441366986821532276",18,0x9eb6be354d88fd88795a04de899a57a77c545590,GameStop.Finance,GME,"19.98660714285714285714285714285714","0","0.000000000000000004176704290668362424876879346317115","2","0","0","0","0"
"12628021","1623612436","0xd969cf7d70a4bc51e5695ef5c6255aad050aa5f6","2","0.407541158287499489","1600.41516889436465405","0.008884700922640260139098714283518052","27.81276111253216389575372070623282",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.0002546471479453961789888488348096226",18,0x55296f69f40ea6d20e478533c15a6b08b654e758,XY Oracle,XYO,"3927.002552624030741132888356773044","25.441682669066599367","0.006743260275842235058930083078493405","7","33.38938209542776407549056433860251","2.064882509285782754","3894.068602471567174126","0"
"12615818","1623449074","0xcc72d6e3d26992c41349a8b49fbd12ef6d9a93fe","3","0.000000000000000057","0.000000000000018062","0.000000000000000001071688407034021726138379104568608","0.000000000000001933813956653596373625458136238338",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.003155796700254678330195991584542133",18,0xff20817765cb7f73d4bde2e66e067e58d11095c2,Amp,AMP,"316.8771929824561403508771929824561","0","0.000000000000000001001351979014585935951224352097279","4","0","0","0","0"
"12373183","1620203670","0x04f44e89241e3d575e16fc6075439880d552cb47","1","0.000000000000008451","0.000000000000000119","0.0000000000000001846462560916128499608174105780772","0.0000000000006376590857452699583238859246414004",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"71.01680672268907563025210084033613",18,0xc3d088842dcf02c13699f936bb83dfbbc6f721ab,Voucher Ethereum,vETH,"0.01408117382558277126967222813868181","0","0.0000000000000002027484016561474051154169018371513","2","0","0","0","0"
"12357116","1619989817","0x8b7a9034f0fddb456e646ec3b7dd6a9085ee86db","1","0.000000000000000008","0.000000000000139966","0.00000000000000000008132182280747586080615071497696104","0.0000000000000003176387655530023424552265707981202",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.00005715673806495863281082548618950317",18,0x8ce2c45829d7416c06d906d34f2d247dc568cbda,Oilfield Outlaws,OilMoney,"17495.75","0","0.0000000000000000001626436456149517216123014299539221","5","35.09625501423940102036368938447878","1.633146757465015726","8708.381201979137985088","0"
