"amount0In","amount0Out","amount1In","amount1Out","amountUSD","from","id","pair.id","pair.token0.decimals","pair.token0.id","pair.token0.name","pair.token0.symbol","pair.token1.decimals","pair.token1.id","pair.token1.name","pair.token1.symbol","sender","timestamp","to","transaction.id","transaction.timestamp"
"0","0.01729333","0.257805870025048202","0","847.943195080378951978493209845617","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0x7b5e0b77c45a67485d97719c13b26209ca7f734cac3de37452c56d6490c4f401-0",0xbb2b8038a1640196fbe3e38816f3e67cba72d940,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1629525711","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0x7b5e0b77c45a67485d97719c13b26209ca7f734cac3de37452c56d6490c4f401,1629525711
"0","95.032698","0.029656479289602725","0","95.1905171573586133773162581932296","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0x885d4bc501bdabf8e34b7fd36dbca4c487457846c8e1998b924a46c01f41e367-0",0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD//C,USDC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1629134775","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0x885d4bc501bdabf8e34b7fd36dbca4c487457846c8e1998b924a46c01f41e367,1629134775
"0","0.05249693","0.707430688188808619","0","2755.47945318362314659786947518042","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0x98a84e55a5435483876c002c457e265b2692163970c9cb92378b847af462ef58-0",0xbb2b8038a1640196fbe3e38816f3e67cba72d940,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1630998435","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0x98a84e55a5435483876c002c457e265b2692163970c9cb92378b847af462ef58,1630998435
"0","22066.86271","5.685645074706832727","0","22144.97148633310945623395658668018","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0xb4f2de506668bc427d53687447fc2482a253e059c8ec280cb87ae0dcb249613d-0",0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD//C,USDC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1630998485","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0xb4f2de506668bc427d53687447fc2482a253e059c8ec280cb87ae0dcb249613d,1630998485
"0","22120.760343380698330561","5.683530172966378268","0","22125.59760788291283446462963090129","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0xb5ae23239d7b086d91869eb9a611f3318acbf448ccf1c0de80a185ece0894dbe-0",0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1630998573","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0xb5ae23239d7b086d91869eb9a611f3318acbf448ccf1c0de80a185ece0894dbe,1630998573
"0","8455.403547034793413731","2.409462040861862958","0","8477.30250577346908736407417213684","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0xc77eadbb500f173cbae7541788c91cdce3092cc9ec8524c075ccfc830bbb1b1f-0",0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1630486066","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0xc77eadbb500f173cbae7541788c91cdce3092cc9ec8524c075ccfc830bbb1b1f,1630486066
"0","952.210912","0.296331351380776371","0","952.993947710461515327829197153337","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0xcd67ca760ec49a7f1fa713572601cef78a668f5af1e4204615f18eb4f9d0b2ec-0",0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD//C,USDC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1628856204","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0xcd67ca760ec49a7f1fa713572601cef78a668f5af1e4204615f18eb4f9d0b2ec,1628856204
"0.773474826808456388","0","0","2538.79157","2543.059175231198920369699313272887","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0xcd7d93b63b7cd25441c45f79e7213d9ba59c1609dd79968f23b403a9c2f948de-0",0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1629525880","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0xcd7d93b63b7cd25441c45f79e7213d9ba59c1609dd79968f23b403a9c2f948de,1629525880
"0.501016997183713007","0","0","1643.778891","1644.86061330238190985540303560888","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0xf178f6427b7251928ff4dff7aeb30891aecef4e054905606c70a85faf5ad6a32-0",0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1629109046","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0xf178f6427b7251928ff4dff7aeb30891aecef4e054905606c70a85faf5ad6a32,1629109046
"0","0.0002566","0.003707419578364138","0","11.8991685190810663210715167404628","0xf6162cca03a1a09cf4a1ddcc98b5baaa6e990ee3","0xfc3c115f978b1dcd9d801b4f7d5ccc229b18ca1226bb51378643d25ecdc60f13-0",0xbb2b8038a1640196fbe3e38816f3e67cba72d940,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","1629134424","0xcd8aa390e6eabbd2169b3580c1f7ce854675fd03",0xfc3c115f978b1dcd9d801b4f7d5ccc229b18ca1226bb51378643d25ecdc60f13,1629134424
