"hourStartUnix","hourlyTxns","hourlyVolumeToken0","hourlyVolumeToken1","hourlyVolumeUSD","pair.id","pair.token0.decimals","pair.token0.id","pair.token0.name","pair.token0.symbol","pair.token1.decimals","pair.token1.id","pair.token1.name","pair.token1.symbol","reserve0","reserve1","reserveUSD"
1631149200,"1","1","22.61700760538432972","22.97029212501760769924955331629804",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"947.760333515909218572","21393.813170802659255195","43498.98514010160042463031891450955"
1631138400,"1","5.02747154974756393","112.986001741987432854","114.6153062670825808344272572384354",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"948.760333515909218572","21371.196163197274925475","43308.36394238281530336180249670124"
1631106000,"1","0.733577685885794753","16.386680431515184933","16.60811213995839493264223766325602",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"953.787805065656782502","21258.210161455287492621","43139.76451646195790305914179191589"
1631088000,"2","74.081539032125900373","1643.369089121960751972","1634.590095969442926976521868099566",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"954.521382751542577255","21241.823481023772307688","42352.35756913794722624456152924385"
1631084400,"2","41.958123648363198136","992.800085974342585233","966.5197169265858772986369928583436",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"925.60801602358785245","21900.371101922618293","42739.70625333402528041948041172491"
1631026800,"1","45","1161.817979081575459398","1119.004586959845709112949850414238",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"907.483771411951050586","22334.763229521641723287","44034.26685083853919603987221394428"
1631008800,"1","16.080714484923233173","445.069621692631035087","435.2088904394261598700429741666395",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"862.483771411951050586","23496.581208603217182685","46309.47178975284017171858068032666"
1631005200,"1","5","141.845371735291389285","136.8130368654855433617617943735448",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"846.403056927027817413","23941.650830295848217772","46249.57539866693531655003333402322"
1631001600,"1","7.51","216.244102058283357277","214.0051470680825150393821206777001",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"841.403056927027817413","24083.496202031139607057","47809.69572899024187993920998587807"
1630915200,"2","18.720540254265582601","546.653162079445420773","555.4527941479677659495211567962103",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"833.893056927027817413","24299.740304089422964334","49470.58787677510495569932306913506"
1630782000,"1","2.742832368754259284","78.577692536546322009","78.3690805650333245632917840540262",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"841.101249702752810588","24089.876649299297630081","48058.10975313157691184419686424641"
1630728000,"1","4.65129059","134.432412950543866051","133.7705879213749199464376789116888",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"838.358417333998551304","24168.45434183584395209","48160.34542206090001824613020598198"
1630674000,"1","13.570985185897526387","400.939133289110208846","396.9568327662031304212110703582662",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"833.707126743998551304","24302.886754786387818141","48445.32767481296568627867016919681"
1630634400,"1","0.7105313320702429","21.356647351688115159","21.08938807365212200292499179677281",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"820.136141558101024917","24703.825888075498026987","48738.02480269824933535320273041729"
1630483200,"2","24.14133212986323953","709.667032961338107595","720.0953749328965529127452639416292",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"819.425610226030782017","24725.182535427186142146","49531.24083316392063461037632998431"
1630418400,"1","1.042714363065158783","29.7375","29.75335868947429889962831141865982",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"843.566942355894021547","24015.515502465848034551","48099.08663093133173596916376494188"
1630414800,"1","12.167017672273168939","341.630470074783934304","346.2934278157602062034929741317501",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"844.60965671895918033","23985.778002465848034551","48348.45553056749670831331728818029"
1630400400,"1","6.186170481470874555","170","171.2822973520162270848796776545244",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"856.776674391232349269","23644.147532391064100247","47544.33770808642247935544056259997"
1630375200,"1","11.395759951093914941","313.191101214575863028","307.1867478764940034719968440335929",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"862.962844872703223824","23474.147532391064100247","46281.27487591334492439936078893681"
1630364400,"1","20.839618120512403818","569.88896066119052582","568.579201588874760970731366870073",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"851.567084921609308883","23787.338633605639963275","46967.80608924012773787877699048656"
1630360800,"1","11.242885454651804144","296.278702790186072488","303.2615147597111201379757314073571",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"872.406703042121712701","23217.449672944449437455","47291.15044163777586357762701554809"
1630335600,"1","2.286","59.272477475906720832","59.4399727025411947733647072972647",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"883.649588496773516845","22921.170970154263364967","45962.3320981822647777040917714647"
1630310400,"1","5","130.719158223970599207","130.9780196979784457640340697180806",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"881.363588496773516845","22980.443447630170085799","46113.79859524266982041839197634809"
